id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_duration_ms,track_time_signature
30VpfIcLiuLYN3HHjrpWJ7,0.68,0.436,4,-13.219,1,0.0401,0.39,0,0.146,0.929,143.019,163893,4
0D3s0ShhcmT98e4aiqlXdX,0.473,0.708,9,-5.342,1,0.0502,0.00216,0,0.114,0.517,119.607,231107,4
7xOCvDwHnRvSdLtPKbROSf,0.633,0.57,6,-5.668,1,0.0269,0.219,0,0.118,0.469,101.889,275587,4
1PGIOBS3PCxqXhezIo5PLZ,0.8,0.446,7,-10.807,1,0.0316,0.386,0,0.0515,0.718,107.704,271533,4
5KXRmp2XmZDHRfspLmSneD,0.636,0.698,1,-8.331,1,0.0249,0.00573,0,0.146,0.628,95.891,259173,4
6te2y5fU8kd5ihjQx5VFX4,0.629,0.472,2,-9.734,0,0.0287,0.298,0,0.918,0.229,130.508,264027,4
5m8Vn0z9yF1h9IIUnL1Z4i,0.791,0.836,11,-5.083,1,0.0391,0.161,0,0.101,0.975,98.01,211707,4
7kqcNdHAsDyxOaZlYREvfq,0.629,0.909,4,-6.125,0,0.0586,0.0129,0,0.346,0.772,143.953,200227,4
5zcMNdo5vG2cPAG64eUhv6,0.684,0.834,7,-7.224,1,0.0311,0.184,0,0.951,0.778,100.015,172827,4
4guGLakUUP5FDnUnW7CMsU,0.521,0.933,6,-5.201,1,0.0358,0.0163,0,0.397,0.519,99.995,213533,4
1qHL7rYl0iqGC2E8fxA8IW,0.69,0.818,7,-4.465,1,0.0394,0.0339,0,0.134,0.523,90.071,239467,4
1Z8bkmu5NfFSQRl3GOoOIl,0.637,0.892,11,-5.284,0,0.0802,0.00475,0,0.199,0.848,130.01,258267,4
6Z5kTARkhiQYtGdHa7V83p,0.629,0.712,6,-8.533,0,0.059,0.00905,0,0.155,0.434,175.957,227758,4
4ZZLcnmgVbb5wyKE4FF8HB,0.503,0.934,9,-5.36,1,0.0768,0.0113,0,0.986,0.564,88.007,252267,4
4GBRczSIO1lEe9pb9m7FWP,0.508,0.674,7,-6.599,1,0.0298,0.5,0,0.886,0.177,130.06,224227,4
2IcsM3hXMRpN6ZGEvwdqxU,0.544,0.67,2,-7.694,1,0.0283,0.142,0,0.742,0.24,119.946,244267,4
0y1Cn8jcLCr5fJvvO35zuN,0.468,0.88,11,-6.302,0,0.0505,0.00474,0,0.99,0.395,112.987,267933,4
3BbGbnqvF2hJjbK3uCYq1M,0.374,0.935,2,-5.729,1,0.0689,0.00421,0,0.984,0.413,76.545,197933,4
7CGbTwDDVA3TEj5sCVMfhb,0.555,0.798,7,-5.579,1,0.0285,0.28,0,0.907,0.577,100.02,256773,4
3jCV9CuT2Hzazecm49uqnZ,0.701,0.477,0,-10.71,1,0.0298,0.358,0,0.656,0.225,98.954,279160,4
6ufP2MQuUZ2s3PFXVGE6Bd,0.628,0.762,11,-6.017,0,0.0264,0.00581,0,0.39,0.247,110.01,301467,4
7bdPaVA9qxuX8xGrZxDDa0,0.54,0.627,9,-7.986,1,0.0277,0.112,0,0.727,0.486,112.954,236800,4
0iB9TY1WHSvJETZDWDWLmj,0.246,0.705,2,-5.517,1,0.0356,0.105,0,0.965,0.106,120.064,332307,4
2pOwQxSiySqoz62gSTOM5O,0.406,0.654,2,-7.016,0,0.029,0.641,0,0.84,0.123,85.934,296760,4
7KdRrzenHoirvrvp6KHZxh,0.473,0.707,2,-8.262,1,0.0333,0.202,0,0.891,0.83,149.966,193600,4
3ZRWcArefd1sfpdw5icCM7,0.669,0.581,7,-8.786,1,0.0308,0.104,0,0.209,0.719,136.443,222200,4
10C3nAydzBvNfaY86NwUuA,0.358,0.766,2,-9.715,1,0.0603,0.0343,0,0.983,0.362,76.904,279893,4
6qCjZi4wOpRZty2wZtyeO0,0.39,0.277,11,-13.61,1,0.0325,0.906,0,0.1,0.21,144.26,174000,4
4s6qyTWg5r4EyOi2QIwM9g,0.606,0.732,10,-10.8,0,0.0322,0.0945,0,0.0841,0.727,132.111,245200,4
5yFI0Vs3x4EbeIDerT0ck1,0.482,0.255,11,-9.793,0,0.031,0.946,0,0.107,0.301,95.205,151307,3
72sdbHdX0G0WqDQDtxRfbI,0.502,0.3,4,-9.102,0,0.0344,0.869,0,0.182,0.423,93.063,203333,4
7L1cmgAlKGEXXLnKzE0ezf,0.343,0.284,0,-16.5,0,0.0393,0.809,0,0.745,0.378,132.865,170067,4
4OQCnf6Jx0cZzzTh7fU0TF,0.667,0.731,9,-8.556,1,0.0381,0.109,0,0.235,0.808,123.593,212587,4
0m2ZgcsKKFPNmZ1zi61mEx,0.728,0.539,11,-10.716,0,0.0429,0.14,0,0.235,0.495,118.086,253893,3
3nI0piSOxAik2RCpHGloB7,0.39,0.396,7,-8.18,1,0.0395,0.738,0,0.0991,0.57,192.178,210493,4
006pMMCuRo2TFjh8sNGSov,0.346,0.433,3,-10.602,0,0.065,0.888,0,0.101,0.768,77.963,145467,3
70dJEanFPdYuWZumkrnKeX,0.676,0.657,6,-7.28,1,0.0272,0.424,0,0.13,0.879,105.002,188200,4
0AsfpL8bzbmEyJsfbPPYnj,0.691,0.668,6,-3.355,0,0.0702,0.121,0,0.0613,0.893,152.097,252227,4
4gEFeIEORz8thfqMY7nKcb,0.418,0.768,10,-6.908,1,0.0306,0.0427,0,0.275,0.296,141.371,212600,4
3XDUFBYZy50XMaTXUZtRXA,0.678,0.577,1,-6.096,0,0.0272,0.611,0,0.249,0.694,120.09,196348,4
5HOkVB35cz5nK6ZeRj0xM6,0.57,0.93,8,-3.14,1,0.0477,0.00606,0,0.102,0.925,163.751,167933,4
3FXo3xKG3aYV3hvdRzUY61,0.574,0.964,4,-2.745,1,0.0458,0.000382,0,0.0578,0.644,109.037,203373,4
3JBxvaIwVEpYtjpbt3ZjqD,0.859,0.662,5,-2.611,0,0.0472,0.118,0,0.0246,0.915,115.384,176067,4
5yEais1zgeW1MjLrx7tsie,0.395,0.954,8,-3.878,1,0.0555,0.0327,0,0.124,0.686,178.001,211467,4
3Xx8DDgvddsYPnxTH2LXsd,0.575,0.902,6,-3.092,1,0.0321,0.077,0,0.359,0.601,130.024,216227,4
3mOxRZuy8k2WXJbRbeMpPF,0.329,0.914,5,-4.173,0,0.0876,0.0537,0,0.142,0.33,175.026,265007,3
39OfZ0ZQ3e2GTqTZfqxG38,0.528,0.836,0,-6.399,0,0.0477,0.00878,0,0.188,0.254,114.919,207600,4
7GYTUJRGpNXjmtsfgBHGcr,0.522,0.688,1,-7.618,1,0.0447,0.0227,0,0.6,0.538,89.97,245917,4
1UYZWCuMG9N2do5ZnvWh9x,0.588,0.507,6,-6.357,1,0.0259,0.702,0,0.121,0.236,104.012,196907,4
3wibiU2UECiww5wkSJfPZJ,0.398,0.962,6,-3.741,1,0.106,0.0111,0,0.298,0.199,135.107,273933,4
3CjmvJEMATYeaGyzFo1DK9,0.435,0.731,4,-3.062,1,0.0689,0.104,0,0.321,0.48,170.034,224467,4
33Y1jukFR76pj7TXFTHQBJ,0.405,0.76,5,-4.283,0,0.0332,0.0985,0,0.382,0.181,79.911,227973,4
5TJLXEONPMrBbR1HAVSdUb,0.561,0.625,2,-9.356,1,0.0561,0.181,0,0.465,0.44,120.023,188335,4
7znB7bwyQiJFQA0xjYJCqt,0.639,0.84,2,-5.819,1,0.0457,0.0196,0,0.923,0.387,105.979,219427,4
7JhueQscGoTl2gYNkp4mSN,0.681,0.546,9,-14.868,0,0.047,0.711,0,0.17,0.645,150.875,291733,4
418OrMDXzoHxieAIKD4tBO,0.43,0.776,2,-5.563,1,0.0412,0.137,0,0.804,0.491,105.076,219788,4
0kXZrXlookNyBAja6S92B8,0.559,0.874,7,-6.44,1,0.0422,0.171,0,0.832,0.644,128.086,197400,4
124nFiJAWSm9PYmsaO01vO,0.488,0.415,5,-10.988,1,0.0292,0.825,0,0.144,0.341,72.748,244000,4
5PYtwjX72uokSrsSZnr6P1,0.713,0.936,9,-6.429,0,0.096,0.0417,0,0.837,0.782,141.901,219200,4
